model,term,coef,std_err,t_value,p_value,ci_lower,ci_upper
Model 1: WER ~ resource level,Intercept,9.877142857142859,1.7857012650448838,5.531240331452975,1.368395041250063e-06,6.284775276833573,13.469510437452145
Model 1: WER ~ resource level,"C(resource_level_tertile, Treatment(reference='Low'))[T.Medium]",-2.178142857142854,2.7663965043281418,-0.7873574354706779,0.4350253652654043,-7.743414781940177,3.3871290676544694
Model 1: WER ~ resource level,"C(resource_level_tertile, Treatment(reference='Low'))[T.High]",0.6501648351648335,2.2148898246545596,0.2935427432677086,0.7703996682415001,-3.80561875854056,5.105948428870227
Model 2: WER ~ resource level + transcript/reference condition,Intercept,9.852536928003307,2.080835825504151,4.734893934083534,2.127391190740234e-05,5.664031652772125,14.04104220323449
Model 2: WER ~ resource level + transcript/reference condition,"C(resource_level_tertile, Treatment(reference='Low'))[T.Medium]",-2.163379299659125,2.8644536557464484,-0.755250236050815,0.4539487003418277,-7.92922545661982,3.60246685730157
Model 2: WER ~ resource level + transcript/reference condition,"C(resource_level_tertile, Treatment(reference='Low'))[T.High]",0.6596286540646613,2.2739574041735215,0.29007959993182275,0.773059003765489,-3.91761019692647,5.236867505055793
Model 2: WER ~ resource level + transcript/reference condition,"C(transcript_type_binary, Treatment(reference='standard_reference'))[T.curated_reference]",0.049211858279101905,2.07062168014424,0.023766706758172162,0.981141498259062,-4.118733408710393,4.217157125268597
Model 3: WER ~ resource level * transcript/reference condition,Intercept,8.242857142857144,2.550174593281876,3.2322716901705264,0.0023292202257408235,3.1033179583865387,13.382396327327749
Model 3: WER ~ resource level * transcript/reference condition,"C(resource_level_tertile, Treatment(reference='Low'))[T.Medium]",-1.1303571428571335,3.4919703757926146,-0.32370181336391285,0.7476974358325643,-8.167961009147772,5.907246723433506
Model 3: WER ~ resource level * transcript/reference condition,"C(resource_level_tertile, Treatment(reference='Low'))[T.High]",3.151587301587299,3.0054095801987644,1.048638203042817,0.3000707506639977,-2.905417714267935,9.208592317442532
Model 3: WER ~ resource level * transcript/reference condition,"C(transcript_type_binary, Treatment(reference='standard_reference'))[T.curated_reference]",3.2685714285714313,3.6064914962385184,0.9063022696658153,0.3697124595792244,-3.999834590454851,10.536977447597714
Model 3: WER ~ resource level * transcript/reference condition,"C(resource_level_tertile, Treatment(reference='Low'))[T.Medium]:C(transcript_type_binary, Treatment(reference='standard_reference'))[T.curated_reference]",-0.3360714285714357,6.438875224633945,-0.05219412037768469,0.9586102647927676,-13.312771772187993,12.64062891504512
Model 3: WER ~ resource level * transcript/reference condition,"C(resource_level_tertile, Treatment(reference='Low'))[T.High]:C(transcript_type_binary, Treatment(reference='standard_reference'))[T.curated_reference]",-6.086765873015873,4.607205644440425,-1.321140479231886,0.19328407802468725,-15.37197873761539,3.198446991583644
