row_id,source_id,source_citation_short,extraction_status,notes_general,asr_model_name_raw,asr_model_name_standardized,benchmark_name_raw,benchmark_name_standardized,source_paper_name,observation_unit_label,language_label_raw,language_label_standardized,iso_language_code,subgroup_label_raw,subgroup_label_standardized,subgroup_type,linguistic_group_level,transcript_type_raw,transcript_type_standardized,transcript_type_binary,correction_source,reference_condition_notes,training_hours_raw,training_hours_numeric,training_hours_unit,training_hours_source_text,log_training_hours,resource_level_tertile,resource_level_notes,wer_reported,cer_reported,delta_wer_reported,worst_group_wer_reported,macro_avg_wer_reported,micro_avg_wer_reported,other_fairness_metric_name,other_fairness_metric_value,metric_notes,speech_domain_raw,speech_domain_standardized,noise_condition_raw,noise_condition_standardized,recording_condition_notes,evaluation_split,dataset_condition_notes,has_performance_metric,has_training_hours,has_transcript_type,eligible_for_main_analysis,exclusion_reason,ambiguity_flag,verification_flag,group_row_count,micro_avg_notes
OBS001,SRC01,"Radford et al., 2022",extracted,Whisper paper Table 8; evaluated on MLS test split,Whisper large-v2,Whisper large-v2,Multilingual LibriSpeech,MLS,Robust Speech Recognition Via Large-Scale Weak Supervision,Whisper large-v2 | Dutch | MLS,Dutch,Dutch,nl,,,none,language,Raw ASR output evaluated against standard benchmark references; no post-ASR correction applied,single_reference_raw,standard_reference,none,Whisper training used weak internet transcripts; evaluation applies 12-step text normalizer (Appendix C). References are standard benchmark references (not human-corrected ASR output).,Not reported per-language,,,,,Missing,Whisper per-language training hours not reported for this language in Figure 11,9.3,,9.600000000000001,13.8,7.2625,,,,,Read audiobook speech (LibriVox via MLS),read,Volunteer home recordings,mixed,,test,,True,False,True,False,missing_training_hours,True,needs_review,8.0,not_computed_no_weight_column
OBS002,SRC01,"Radford et al., 2022",extracted,Whisper paper Table 8; evaluated on MLS test split,Whisper large-v2,Whisper large-v2,Multilingual LibriSpeech,MLS,Robust Speech Recognition Via Large-Scale Weak Supervision,Whisper large-v2 | English | MLS,English,English,en,,,none,language,Raw ASR output evaluated against standard benchmark references; no post-ASR correction applied,single_reference_raw,standard_reference,none,Whisper training used weak internet transcripts; evaluation applies 12-step text normalizer (Appendix C). References are standard benchmark references (not human-corrected ASR output).,438218 hours,438218.0,hours,Whisper paper Figure 11 per-language training hours,5.6417,High,Hours are Whisper per-language training hours from Figure 11,6.2,,9.600000000000001,13.8,7.2625,,,,,Read audiobook speech (LibriVox via MLS),read,Volunteer home recordings,mixed,,test,,True,True,True,True,,False,verified,8.0,not_computed_no_weight_column
OBS003,SRC01,"Radford et al., 2022",extracted,Whisper paper Table 8; evaluated on MLS test split,Whisper large-v2,Whisper large-v2,Multilingual LibriSpeech,MLS,Robust Speech Recognition Via Large-Scale Weak Supervision,Whisper large-v2 | French | MLS,French,French,fr,,,none,language,Raw ASR output evaluated against standard benchmark references; no post-ASR correction applied,single_reference_raw,standard_reference,none,Whisper training used weak internet transcripts; evaluation applies 12-step text normalizer (Appendix C). References are standard benchmark references (not human-corrected ASR output).,9752 hours,9752.0,hours,Whisper paper Figure 11 per-language training hours,3.9891,Low,Hours are Whisper per-language training hours from Figure 11,7.3,,9.600000000000001,13.8,7.2625,,,,,Read audiobook speech (LibriVox via MLS),read,Volunteer home recordings,mixed,,test,,True,True,True,True,,False,verified,8.0,not_computed_no_weight_column
OBS004,SRC01,"Radford et al., 2022",extracted,Whisper paper Table 8; evaluated on MLS test split,Whisper large-v2,Whisper large-v2,Multilingual LibriSpeech,MLS,Robust Speech Recognition Via Large-Scale Weak Supervision,Whisper large-v2 | German | MLS,German,German,de,,,none,language,Raw ASR output evaluated against standard benchmark references; no post-ASR correction applied,single_reference_raw,standard_reference,none,Whisper training used weak internet transcripts; evaluation applies 12-step text normalizer (Appendix C). References are standard benchmark references (not human-corrected ASR output).,13344 hours,13344.0,hours,Whisper paper Figure 11 per-language training hours,4.1253,Medium,Hours are Whisper per-language training hours from Figure 11,5.5,,9.600000000000001,13.8,7.2625,,,,,Read audiobook speech (LibriVox via MLS),read,Volunteer home recordings,mixed,,test,,True,True,True,True,,False,verified,8.0,not_computed_no_weight_column
OBS005,SRC01,"Radford et al., 2022",extracted,Whisper paper Table 8; evaluated on MLS test split,Whisper large-v2,Whisper large-v2,Multilingual LibriSpeech,MLS,Robust Speech Recognition Via Large-Scale Weak Supervision,Whisper large-v2 | Italian | MLS,Italian,Italian,it,,,none,language,Raw ASR output evaluated against standard benchmark references; no post-ASR correction applied,single_reference_raw,standard_reference,none,Whisper training used weak internet transcripts; evaluation applies 12-step text normalizer (Appendix C). References are standard benchmark references (not human-corrected ASR output).,Not reported per-language,,,,,Missing,Whisper per-language training hours not reported for this language in Figure 11,13.8,,9.600000000000001,13.8,7.2625,,,,,Read audiobook speech (LibriVox via MLS),read,Volunteer home recordings,mixed,,test,,True,False,True,False,missing_training_hours,True,needs_review,8.0,not_computed_no_weight_column
OBS006,SRC01,"Radford et al., 2022",extracted,Whisper paper Table 8; evaluated on MLS test split,Whisper large-v2,Whisper large-v2,Multilingual LibriSpeech,MLS,Robust Speech Recognition Via Large-Scale Weak Supervision,Whisper large-v2 | Polish | MLS,Polish,Polish,pl,,,none,language,Raw ASR output evaluated against standard benchmark references; no post-ASR correction applied,single_reference_raw,standard_reference,none,Whisper training used weak internet transcripts; evaluation applies 12-step text normalizer (Appendix C). References are standard benchmark references (not human-corrected ASR output).,Not reported per-language,,,,,Missing,Whisper per-language training hours not reported for this language in Figure 11,5.0,,9.600000000000001,13.8,7.2625,,,,,Read audiobook speech (LibriVox via MLS),read,Volunteer home recordings,mixed,,test,,True,False,True,False,missing_training_hours,True,needs_review,8.0,not_computed_no_weight_column
OBS007,SRC01,"Radford et al., 2022",extracted,Whisper paper Table 8; evaluated on MLS test split,Whisper large-v2,Whisper large-v2,Multilingual LibriSpeech,MLS,Robust Speech Recognition Via Large-Scale Weak Supervision,Whisper large-v2 | Portuguese | MLS,Portuguese,Portuguese,pt,,,none,language,Raw ASR output evaluated against standard benchmark references; no post-ASR correction applied,single_reference_raw,standard_reference,none,Whisper training used weak internet transcripts; evaluation applies 12-step text normalizer (Appendix C). References are standard benchmark references (not human-corrected ASR output).,8573 hours,8573.0,hours,Whisper paper Figure 11 per-language training hours,3.9331,Low,Hours are Whisper per-language training hours from Figure 11,6.8,,9.600000000000001,13.8,7.2625,,,,,Read audiobook speech (LibriVox via MLS),read,Volunteer home recordings,mixed,,test,,True,True,True,True,,False,verified,8.0,not_computed_no_weight_column
OBS008,SRC01,"Radford et al., 2022",extracted,Whisper paper Table 8; evaluated on MLS test split,Whisper large-v2,Whisper large-v2,Multilingual LibriSpeech,MLS,Robust Speech Recognition Via Large-Scale Weak Supervision,Whisper large-v2 | Spanish | MLS,Spanish,Spanish,es,,,none,language,Raw ASR output evaluated against standard benchmark references; no post-ASR correction applied,single_reference_raw,standard_reference,none,Whisper training used weak internet transcripts; evaluation applies 12-step text normalizer (Appendix C). References are standard benchmark references (not human-corrected ASR output).,11100 hours,11100.0,hours,Whisper paper Figure 11 per-language training hours,4.0453,Medium,Hours are Whisper per-language training hours from Figure 11,4.2,,9.600000000000001,13.8,7.2625,,,,,Read audiobook speech (LibriVox via MLS),read,Volunteer home recordings,mixed,,test,,True,True,True,True,,False,verified,8.0,not_computed_no_weight_column
OBS009,SRC01,"Radford et al., 2022",extracted,Whisper paper VoxPopuli results,Whisper large-v2,Whisper large-v2,VoxPopuli,VoxPopuli,Robust Speech Recognition Via Large-Scale Weak Supervision,Whisper large-v2 | Czech | VoxPopuli,Czech,Czech,cs,,,none,language,Raw ASR output evaluated against standard benchmark references; no post-ASR correction applied,single_reference_raw,standard_reference,none,Whisper training used weak internet transcripts; evaluation applies 12-step text normalizer (Appendix C). References are standard benchmark references (not human-corrected ASR output).,Not reported per-language,,,,,Missing,Per-language hours not in Figure 11,12.6,,26.200000000000003,33.2,15.438888888888888,,,,,European Parliament proceedings,read,Parliamentary recordings,clean,,test,,True,False,True,False,missing_training_hours,True,needs_review,18.0,not_computed_no_weight_column
OBS010,SRC01,"Radford et al., 2022",extracted,Whisper paper VoxPopuli results,Whisper large-v2,Whisper large-v2,VoxPopuli,VoxPopuli,Robust Speech Recognition Via Large-Scale Weak Supervision,Whisper large-v2 | German | VoxPopuli,German,German,de,,,none,language,Raw ASR output evaluated against standard benchmark references; no post-ASR correction applied,single_reference_raw,standard_reference,none,Whisper training used weak internet transcripts; evaluation applies 12-step text normalizer (Appendix C). References are standard benchmark references (not human-corrected ASR output).,13344 hours,13344.0,hours,Whisper paper Figure 11 per-language training hours,4.1253,Medium,Whisper Figure 11,11.2,,26.200000000000003,33.2,15.438888888888888,,,,,European Parliament proceedings,read,Parliamentary recordings,clean,,test,,True,True,True,True,,False,verified,18.0,not_computed_no_weight_column
OBS011,SRC01,"Radford et al., 2022",extracted,Whisper paper VoxPopuli results,Whisper large-v2,Whisper large-v2,VoxPopuli,VoxPopuli,Robust Speech Recognition Via Large-Scale Weak Supervision,Whisper large-v2 | English | VoxPopuli,English,English,en,,,none,language,Raw ASR output evaluated against standard benchmark references; no post-ASR correction applied,single_reference_raw,standard_reference,none,Whisper training used weak internet transcripts; evaluation applies 12-step text normalizer (Appendix C). References are standard benchmark references (not human-corrected ASR output).,438218 hours,438218.0,hours,Whisper paper Figure 11 per-language training hours,5.6417,High,Whisper Figure 11,7.0,,26.200000000000003,33.2,15.438888888888888,,,,,European Parliament proceedings,read,Parliamentary recordings,clean,,test,,True,True,True,True,,False,verified,18.0,not_computed_no_weight_column
OBS012,SRC01,"Radford et al., 2022",extracted,Whisper paper VoxPopuli results,Whisper large-v2,Whisper large-v2,VoxPopuli,VoxPopuli,Robust Speech Recognition Via Large-Scale Weak Supervision,Whisper large-v2 | English-accented | VoxPopuli,English-accented,English,en,English-accented,English (accented),accent,language_plus_subgroup,Raw ASR output evaluated against standard benchmark references; no post-ASR correction applied,single_reference_raw,standard_reference,none,Whisper training used weak internet transcripts; evaluation applies 12-step text normalizer (Appendix C). References are standard benchmark references (not human-corrected ASR output).,438218 hours,438218.0,hours,Whisper paper Figure 11 per-language training hours,5.6417,High,Whisper Figure 11,18.6,,26.200000000000003,33.2,15.438888888888888,,,,,European Parliament proceedings,read,Parliamentary recordings,clean,,test,,True,True,True,True,,False,verified,18.0,not_computed_no_weight_column
OBS013,SRC01,"Radford et al., 2022",extracted,Whisper paper VoxPopuli results,Whisper large-v2,Whisper large-v2,VoxPopuli,VoxPopuli,Robust Speech Recognition Via Large-Scale Weak Supervision,Whisper large-v2 | Spanish | VoxPopuli,Spanish,Spanish,es,,,none,language,Raw ASR output evaluated against standard benchmark references; no post-ASR correction applied,single_reference_raw,standard_reference,none,Whisper training used weak internet transcripts; evaluation applies 12-step text normalizer (Appendix C). References are standard benchmark references (not human-corrected ASR output).,11100 hours,11100.0,hours,Whisper paper Figure 11 per-language training hours,4.0453,Medium,Whisper Figure 11,8.2,,26.200000000000003,33.2,15.438888888888888,,,,,European Parliament proceedings,read,Parliamentary recordings,clean,,test,,True,True,True,True,,False,verified,18.0,not_computed_no_weight_column
OBS014,SRC01,"Radford et al., 2022",extracted,Whisper paper VoxPopuli results,Whisper large-v2,Whisper large-v2,VoxPopuli,VoxPopuli,Robust Speech Recognition Via Large-Scale Weak Supervision,Whisper large-v2 | Estonian | VoxPopuli,Estonian,Estonian,et,,,none,language,Raw ASR output evaluated against standard benchmark references; no post-ASR correction applied,single_reference_raw,standard_reference,none,Whisper training used weak internet transcripts; evaluation applies 12-step text normalizer (Appendix C). References are standard benchmark references (not human-corrected ASR output).,Not reported per-language,,,,,Missing,Per-language hours not in Figure 11,28.7,,26.200000000000003,33.2,15.438888888888888,,,,,European Parliament proceedings,read,Parliamentary recordings,clean,,test,,True,False,True,False,missing_training_hours,True,needs_review,18.0,not_computed_no_weight_column
OBS015,SRC01,"Radford et al., 2022",extracted,Whisper paper VoxPopuli results,Whisper large-v2,Whisper large-v2,VoxPopuli,VoxPopuli,Robust Speech Recognition Via Large-Scale Weak Supervision,Whisper large-v2 | Finnish | VoxPopuli,Finnish,Finnish,fi,,,none,language,Raw ASR output evaluated against standard benchmark references; no post-ASR correction applied,single_reference_raw,standard_reference,none,Whisper training used weak internet transcripts; evaluation applies 12-step text normalizer (Appendix C). References are standard benchmark references (not human-corrected ASR output).,Not reported per-language,,,,,Missing,Per-language hours not in Figure 11,12.4,,26.200000000000003,33.2,15.438888888888888,,,,,European Parliament proceedings,read,Parliamentary recordings,clean,,test,,True,False,True,False,missing_training_hours,True,needs_review,18.0,not_computed_no_weight_column
OBS016,SRC01,"Radford et al., 2022",extracted,Whisper paper VoxPopuli results,Whisper large-v2,Whisper large-v2,VoxPopuli,VoxPopuli,Robust Speech Recognition Via Large-Scale Weak Supervision,Whisper large-v2 | French | VoxPopuli,French,French,fr,,,none,language,Raw ASR output evaluated against standard benchmark references; no post-ASR correction applied,single_reference_raw,standard_reference,none,Whisper training used weak internet transcripts; evaluation applies 12-step text normalizer (Appendix C). References are standard benchmark references (not human-corrected ASR output).,9752 hours,9752.0,hours,Whisper paper Figure 11 per-language training hours,3.9891,Low,Whisper Figure 11,11.4,,26.200000000000003,33.2,15.438888888888888,,,,,European Parliament proceedings,read,Parliamentary recordings,clean,,test,,True,True,True,True,,False,verified,18.0,not_computed_no_weight_column
OBS017,SRC01,"Radford et al., 2022",extracted,Whisper paper VoxPopuli results,Whisper large-v2,Whisper large-v2,VoxPopuli,VoxPopuli,Robust Speech Recognition Via Large-Scale Weak Supervision,Whisper large-v2 | Croatian | VoxPopuli,Croatian,Croatian,hr,,,none,language,Raw ASR output evaluated against standard benchmark references; no post-ASR correction applied,single_reference_raw,standard_reference,none,Whisper training used weak internet transcripts; evaluation applies 12-step text normalizer (Appendix C). References are standard benchmark references (not human-corrected ASR output).,Not reported per-language,,,,,Missing,Per-language hours not in Figure 11,16.1,,26.200000000000003,33.2,15.438888888888888,,,,,European Parliament proceedings,read,Parliamentary recordings,clean,,test,,True,False,True,False,missing_training_hours,True,needs_review,18.0,not_computed_no_weight_column
OBS018,SRC01,"Radford et al., 2022",extracted,Whisper paper VoxPopuli results,Whisper large-v2,Whisper large-v2,VoxPopuli,VoxPopuli,Robust Speech Recognition Via Large-Scale Weak Supervision,Whisper large-v2 | Hungarian | VoxPopuli,Hungarian,Hungarian,hu,,,none,language,Raw ASR output evaluated against standard benchmark references; no post-ASR correction applied,single_reference_raw,standard_reference,none,Whisper training used weak internet transcripts; evaluation applies 12-step text normalizer (Appendix C). References are standard benchmark references (not human-corrected ASR output).,Not reported per-language,,,,,Missing,Per-language hours not in Figure 11,13.8,,26.200000000000003,33.2,15.438888888888888,,,,,European Parliament proceedings,read,Parliamentary recordings,clean,,test,,True,False,True,False,missing_training_hours,True,needs_review,18.0,not_computed_no_weight_column
OBS019,SRC01,"Radford et al., 2022",extracted,Whisper paper VoxPopuli results,Whisper large-v2,Whisper large-v2,VoxPopuli,VoxPopuli,Robust Speech Recognition Via Large-Scale Weak Supervision,Whisper large-v2 | Italian | VoxPopuli,Italian,Italian,it,,,none,language,Raw ASR output evaluated against standard benchmark references; no post-ASR correction applied,single_reference_raw,standard_reference,none,Whisper training used weak internet transcripts; evaluation applies 12-step text normalizer (Appendix C). References are standard benchmark references (not human-corrected ASR output).,Not reported per-language,,,,,Missing,Per-language hours not in Figure 11,19.0,,26.200000000000003,33.2,15.438888888888888,,,,,European Parliament proceedings,read,Parliamentary recordings,clean,,test,,True,False,True,False,missing_training_hours,True,needs_review,18.0,not_computed_no_weight_column
